Alfabet,Title,Description,Mamfaat Pemeriksaan
U,USG Deteksi Cairan Efusi,USG untuk melihat efusi pleira. Efusi akan tergambar sebagai struktur hipoekoik tanpa gas dan tetap tampak saat inspirasi maupun ekspirasi.,"untuk menggambarkan dinding toraks, pleura dan jaringan paru yang berbatasan dengan pleura. "
U,USG Axilla,Pemeriksaan ultrasonografi pada daerah axilla (ketiak).,untuk melihat adanya kelainan pada daerah axilla (ketiak).
U,USG Buli-buli,Pemeriksaan ultrasonografi pada daerah buli-buli di abdomen,Dapat digunakan untuk mendeteksi batu radiolusen pada buli–buli.
U,USG Coli,Pemeriksaan ultrasonografi pada coli.,untuk melihat adanya kelainan pada coli
U,USG Deteksi Cairan Ascites,Pemeriksaan pencitraan (imaging) untuk mendeteksi ascites.,Untuk mendeteksi adanya ascites.
U,USG Carotid Vascular (Doppler),Ultrasonografi karotis menggunakan gelombang suara untuk menghasilkan gambar arteri karotis di leher yang membawa darah dari jantung ke otak.,"digunakan untuk menyaring pasien untuk penyumbatan atau penyempitan arteri karotis, suatu kondisi yang disebut stenosis yang dapat meningkatkan risiko stroke."
U,USG Appendix,Pemeriksaan ultrasonografi pada daerah  appendix (usus buntu).,untuk membantu menegakkan diagnosis apendisitis. 
U,USG Abdomen (4D),Teknik diagnostik pencitraan yang menggunakan gelombang suara dengan frekuensi >20.000 Hz,"Untuk mendeteksi perubahan pada organ, jaringan, dan pembuluh darah atau mendeteksi massa abnormal, 
seperti tumor dari organ dan struktur lain di daerah abdomen (perut)"
U,USG Abdomen (Colour Doppler),Teknik diagnostik pencitraan yang menggunakan gelombang suara dengan frekuensi >20.000 Hz,"Untuk mendeteksi perubahan pada organ, jaringan, dan pembuluh darah atau mendeteksi massa abnormal, 
seperti tumor dari organ dan struktur lain di daerah abdomen (perut)"
U,USG Abdomen,Teknik diagnostik pencitraan yang menggunakan gelombang suara dengan frekuensi >20.000 Hz,"Untuk mendeteksi perubahan pada organ, jaringan, dan pembuluh darah atau mendeteksi massa abnormal, 
seperti tumor dari organ dan struktur lain di daerah abdomen (perut)"
U,Urine Rutine (Flow Cytometry),Urine flow cytometry merupakan metode skrining yang di unggulkan untuk mengeksklusi UTI atau infeksi saluran kemih,Pemeriksaan ini dapat menghitung dan menganalisis jenis bakteri yang ada di urine.
U,Urine Rutin ,"Pemeriksaan urin rutin meliputi pemeriksaan fisik, kimia, dan mikroskopis untuk mendeteksi dan/atau mengukur beberapa zat dalam urin seperti produk sampingan dari metabolisme yang normal dan abnormal, sel, fragmen sel, dan bakteri. Pemeriksaan urin rutin seringkali menjadi bagian dari pemeriksaan kesehatan berkala (medical check-up), dan direkomendasikan dokter ketika seseorang memiliki gejala seperti sakit perut, nyeri punggung, sering buang air kecil disertai rasa nyeri saat buang air kecil. Pemeriksaan urin rutin membutuhkan sampel berupa urin.","Menyaring, membantu diagnosis, dan/atau memantau beberapa penyakit dan kondisi seperti kelainan ginjal/saluran kemih, gangguan infeksi saluran kemih (ISK), dan penyakit metabolik atau sistemik."
U,Urea N ,"Urea N merupakan produk akhir dari metabolisme protein , urea disintesis oleh hati. Urea N mudah difiltrasi oleh ginjal. Urea Nitrogen mencerminkan perbandingan antara produksi dan klirens urea. BUN dapat tinggi pada keadaan penyakit ginjal akut maupun kronik.	
","Urea N digunakan untuk uji fungsi ginjal  bersama dengan kreatinin. BUN berguna dalam pemantauan hemodialisis dan terapi lain. Perbandingan BUN: kreatinin digunakan untuk membedakan adanya pre renal failure, intrinsic failure ataukah obstruksi.	
"
U,Ureum,,Silahkan cek email anda untuk mendapatkan kata sandi baru
U,Urea N Urin,"Tes nitrogen urea urin menentukan berapa banyak urea dalam urin untuk menilai jumlah pemecahan protein. Tes ini dapat membantu menentukan seberapa baik ginjal berfungsi dan apakah asupan protein Anda terlalu tinggi atau rendah. Selain itu, ini dapat membantu mendiagnosis apakah Anda memiliki masalah dengan pencernaan protein atau penyerapan dari usus.","Tes nitrogen urea bermanfaat untuk: Menilai seberapa baik ginjal berfungsi, Menentukan apakah terdapat penyakit ginjal,memantau penyakit ginjal, membantu mendiagnosis sejumlah penyakit dan gangguan yang dapat memengaruhi fungsi ginjal."
U,Urea Breath Test (UBT),"Prinsip pemeriksaan UBT didasarkan pada kemampuan urease, yang diproduksi bakteri H pylori di dalam mukosa lambung, untuk menghidrolisis tablet C-urea. Enzim ini memecah urea dalam lambung menjadi ammonia dan karbondioksida (CO2), yang diabsorbsi ke dalam aliran darah dan kemudian dilepaskan melalui paru-paru. Karbondioksida berlabel dideteksi melalui sampel nafas. ",Pemeriksaan ini merupakan pemeriksaan yang sensitif dan non invasif yang dapat digunakan untuk menentukan adanya  H.pylori  terutama  untuk  terapi  awal  dan pemantauan terapi antibiotik dengan sampel nafas.
U,Urea N Urin 24 Jam,"Tes nitrogen urea urin menentukan berapa banyak urea dalam urin untuk menilai jumlah pemecahan protein. Tes ini dapat membantu menentukan seberapa baik ginjal berfungsi dan apakah asupan protein Anda terlalu tinggi atau rendah. Selain itu, ini dapat membantu mendiagnosis apakah Anda memiliki masalah dengan pencernaan protein atau penyerapan dari usus.","Tes nitrogen urea bermanfaat untuk: Menilai seberapa baik ginjal berfungsi, Menentukan apakah terdapat penyakit ginjal,memantau penyakit ginjal, membantu mendiagnosis sejumlah penyakit dan gangguan yang dapat memengaruhi fungsi ginjal."
U,Ultrasound diatermi (15 menit),,Silahkan cek email anda untuk mendapatkan kata sandi baru
U,Uranium (U) Urine,Uranium merupakan salah satu isotope radioaktif,Biomonitoring pajanan Uranium
U,Ultrasensitive - Mutasi EGFR ctDNA,"Pemeriksaan untuk mendeteksi adanya mutasi gen Epidermal Growth Factor Receptor (EGFR) pada pasien adenokarsinoma paru menggunakan circulating tumor plasma DNA untuk mendeteksi delesi pada ekson 19, mutasi titik (L858R) pada ekson 21, dan mutasi T790M pada ekson 20 pada gen EGFR menggunakan metode droplet digital PCR (ddPCR) yang memiliki sensitivitas lebih tinggi dibanding ARMS-PCR","1. Non-invasif
2. Sampel diambil dengan mudah dan cepat 
3. Sensitivitas tinggi dibandingkan ARMS-PCR (dapat mendeteksi hingga 0.2-0.3% mutan dalam wildtype)
4. Memberikan informasi persentase jumlah alel mutan pada plasma yang sebelumnya tidak dapat diketahui menggunakan metode ARMS-PCR
5. Penanda progresi penyakit akibat resistensi first-line therapy EGFR-TKI 
6. Penanda prediktif untuk target terapi (first-line dan second-line)"
T,Tumor Anus,Benjolan yang dicurigai tumor dan terdapat pada daerah anus.,untuk mengetahui adanya tumor pada anus.
T,Tumor cruris,"Benjolan yang dicurigai tumor dan terdapat pada daerah pergelangan kaki sampai lutut, bisa berasal dari tulang, otot, kulit, dsb.",untuk mengetahui adanya tumor pada cruris.
U,Uji Saring Sindrom Down TM I,,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Tumor Kulit,Benjolan yang dicurigai tumor dan terdapat pada kulit.,untuk mengetahui adanya tumor pada kulit.
T,Tumor Coli,Benjolan yang dicurigai tumor dan terdapat pada daerah coli.,untuk mengetahui adanya tumor pada coli.
T,Tuba dan Ovarium,Pengambilan jaringan pada Tuba dan Ovarium,untuk melihat adanya kelainan pada Tuba dan Ovarium
T,Tumor bibir,Benjolan yang dicurigai tumor dan terdapat pada daerah bibir.,untuk mengetahui adanya tumor pada bibir.
T,Tulang Alveolar,Pengambilan jaringan pada Tulang Alveolar,untuk melihat adanya kelainan pada Tulang Alveolar
T,TSH Neonatus,Thyroid-stimulating hormone (TSH) adalah hormon yang berfungsi merangsang kelenjar tiroid untuk memproduksi hormon thyroxine (T4) dan triiodothyronine (T3). Fungsi TSH dipengaruhi oleh thyrotropin releasing hormone (TRH) yang dihasilkan oleh hipotalamus untuk mempertahankan konsentrasi yang stabil dari hormon tiroid dalam darah.,"TSH Neonatus merupakan pemeriksaan untuk skrining yang efektif untuk menunjukkan fungsi tiroid neonatus (hipotiroid kongenital) pada bayi baru lahir. Interpretasinya akan lebih baik apabila dikombinasikan dengan T4, karena kadar TSH selalu meningkat pada hipotiroidisme primer dan bahkan pada pasien dengan kadar T4 yang masih di dalam rentang normal."
T,TSHs ,"Pemeriksaan TSHs merupakan pemeriksaan menggunakan sampel darah yang diambil dari pembuluh darah vena di lengan untuk mengukur konsentrasi thyroid-stimulating hormone (TSH) dalam darah.

Thyroid-stimulating hormone (TSH) adalah hormon yang berfungsi merangsang kelenjar tiroid untuk memproduksi hormon thyroxine (T4) dan triiodothyronine (T3). Fungsi TSH dipengaruhi oleh thyrotropin releasing hormone (TRH) yang dihasilkan oleh hipotalamus untuk mempertahankan konsentrasi yang stabil dari hormon tiroid dalam darah.",Sebagai uji saring dan membantu diagnosis gangguan tiroid; memantau pengobatan hipotiroidisme dan hipertiroidisme.
T,"Trypanosoma cruzi Antibody, IgG",Antibodi ditemukan pada kebanyakan pasien dengan Trypanosomiasis Amerika akut atau kronis,Mendeteksi infeksi trypanosomiasis
T,Tryptase,Tryptase merupakan enzim yang dirilis bersamaan dengan histamin dan molekul lainnya sebagai respon imun pada alergi (hipersensitivitas),"Konsentrasi tryptase meningkat pada immediate hypersensitivity (anafilaksis), allergen challenge akut dan mastocytosis"
T,ttMA (Urine),"Trans, asam trans-muconic (tt-MA) adalah metabolit yang banyak digunakan sebagai biomarker untuk mengidentifikasi paparan rendah terhadap benzena. tt-MA merupakan karsinogen bagi manusia. Pemeriksaan Benzene T.T muconic Acid mendeteksi kada tt-MA dalam urine biasanya dilakukan pada pekerja yang terpapar benzene.",Menenetukan jumlah paparan benzene melalui pemeriksaan dengan sampel urine
T,Troponin T ,"komponen yang
berikatan dengan tropomiosin","Biomarker pilihan untuk diagnosis infark miokard akut/ Acute Myocardial Infark (AMI), stratifikasi risiko dan prognosis"
T,Troponin T,Troponin adalah sekelompok protein yang ditemukan dalam serat otot rangka dan jantung (jantung) yang mengatur kontraksi otot. Tes Troponin mengukur tingkat troponin spesifik jantung dalam darah untuk membantu mendeteksi cedera jantung. Mengukur jumlah troponin T spesifik jantung atau troponin I dalam darah dapat membantu mengidentifikasi individu yang mengalami kerusakan jantung.,Untuk menentukan apakah Anda pernah mengalami serangan jantung atau cedera otot jantung; untuk menentukan apakah angina Anda (nyeri dada yang berhubungan dengan gangguan jantung) memburuk
T,Troponin I Kuantitatif,"TnI merupakan subunit regulasi dari kompleks troponin yang berkaitan dengan filamen tipis aktin
dalam sel otot jantung.","Biomarker pilihan untuk diagnosis infark miokard akut/ Acute Myocardial Infark (AMI), stratifikasi risiko dan prognosis"
T,Troponin I,"TnI merupakan subunit regulasi dari kompleks troponin yang berkaitan dengan filamen tipis aktin
dalam sel otot jantung.","Biomarker pilihan untuk diagnosis infark miokard akut/ Acute Myocardial Infark (AMI), stratifikasi risiko dan prognosis"
T,Trigliserida,"Pemeriksaan trigliserida merupakan pemeriksaan darah yang mengukur konsentrasi trigliserida di dalam darah. Trigliserida adalah salah satu jenis lemak yang ditemukan dalam darah. Saat kita makan, tubuh mengubah kalori  yang tidak digunakan dalam bentuk trigliserida yang kemudian disimpan dalam sel lemak. Trigliserida dilepaskan untuk menghasilkan energi saat tubuh membutuhkannya. Jika kalori yang dikonsumsi lebih banyak dibanding kalori yang digunakan (misalnya untuk beraktivitas), maka konsentrasi trigliserida akan meningkat. Peningkatan konsentrasi trigliserida dalam darah dapat meningkatkan risiko penyakit jantung dan menjadi tanda adanya sindrom metabolik.",Menentukan faktor risiko penyakit jantung koroner; mendeteksi sindrom metabolik; memantau efektivitas terapi penurun lipid.
T,Trichomonas Mikroskopis,Melihat sampell di bawah mikroskop untuk mengetahui keberadaan dari trichomonas vaginalis ,Untuk diagnosis infeksi dari bakteri trichomonas vaginalis yang meyebabkan penyakit menular seksual trichomoniasis
T,Transbronkial aspirasi tumor,Sitologi spesimen cairan dari pasien dapat menjadi alat penting untuk diagnosis cepat yang diperlukan untuk memulai terapi yang tepat waktu dan tepat.,Membantu memperkirakan keberadaan sel-sel ganas dalam spesimen cairan aspirasi Transbronkial.
T,Triple Cardiac Marker,"Triple Cardiac Marker adalah untuk diagnosis AMI (Acute Myocardial Infarct). Walaupun cukup banyak kardiologi yang lebih menyukai penentuan troponin, tetapi penentuan CKMB juga berperan dalam diagnosis reinfark. Troponin akan tetap meningkat sekitar 14 hari setelah AMI, sementara konsentrasi CKMB akan menurun ke baseline dalam 72 jam. Kadar CKMB dapat meningkat diluar kerusakan miokardium, peningkatan kadar CKMB dapat terjadi pada kondisi hipotiroidisme dan peningkatan kadar CK total terjadi pada 50% kasus. Myoglobin merupakan oxygen-binding protein yang ditemukan dalam jantung dan striated muscle. Peningkatan konsentrasinya yang cepat merupakan penanda AMI yang dini. Kadar myoglobin serum merupakan indikator dini AMI, terutama apabila dikombinasikan dengan troponin atau CKMB. Setelh kondisi AMI, kadar myoglobin kembali normal sementara kadar troponin tetap meningkat. Myoglobin serum akan diekskresikan melalui ginjal, dan myoglobin merupakan penanda kerusakan miokardial awal yang sensitif karena dilepaskan dari sel-sel yang mengalami nekrotik, sehingga dapat digunakan untuk deteksi infark miokard dini. Konsentrasi myoglobin akan meningkat 1 jam setelah infark dan mencapai puncaknya dalam 4-12 jam. Cardiac troponin I (cTnI) dan troponin T (cTnT) merupakan uji primer dalam diagnosis AMI karena memiliki spesifisitas dan sensitivitas yang tinggi. Salah satu kriteria diagnosis AMI antara lain adanya simptom iskemik, adanya perubahan gelombang Q pada EKG, perubahan segmen ST dan intervensi arteri koroner. Troponin lebih sensitif dari CKMB untuk deteksi nekrosis otot jantung. Myoglobin, suatu penanda yang meningkat cepat setelah AMI, diterima sebagai penanda dini tetapi kurang spesifik bila dibandingkan dengan troponin; apabila hasil myoglobin positif maka diperlukan uji konfirmasi menggunakan troponin atau CKMB. Troponin jantung akan tetap meningkat 5-7 hari setelah onset kerusakan jantung, oleh karena itu untuk menduga periode reinfark perlu dievaluasi menggunakan troponin atau CKMB.",untuk diagnosis AMI (Acute Myocardial Infark)
T,Treponema Pallidum Ab,Treponema Pallidum penyebab penyakit sipilis. Antibodi yang terbentuk akibat respon infeksi Treponema Pallidum.,Untuk mengetahui infeksi Treponema Pallidum
T,Troponin I Kualitatif,"TnI merupakan subunit regulasi dari kompleks troponin yang berkaitan dengan filamen tipis aktin
dalam sel otot jantung.","Biomarker pilihan untuk diagnosis infark miokard akut/ Acute Myocardial Infark (AMI), stratifikasi risiko dan prognosis"
T,Transferrin,Transferrin merupakan beta globulin serum yang mengikat dan mengangkut besi. ,"Transferrin menentukan status nutrisi. Transferrin dapat digunakan sebagai penanda CSF pada pasien dengan nasal discharge. Kadar transferrin meningkat pada anemia defisiensi besi. Menurun pada tahap inflamasi kronik, transferrinemia herediter, beberapa penyakit hati , dan penyakit ginjal"
T,TRAb,"Pemeriksaan TRAb merupakan pemeriksaan menggunakan sampel darah yang diambil dari pembuluh darah vena di lengan untuk mendeteksi dan mengukur kuantitas thyroid-stimulating hormone receptor antibodies (TRAb) dalam darah.

Thyroid-stimulating hormone receptor antibodies (TRAb) merupakan salah satu autoantibodi tiroid, yaitu antibodi yang berkembang ketika sistem kekebalan tubuh keliru menargetkan komponen dari kelenjar tiroid atau protein tiroid hingga dapat menyebabkan peradangan kronis pada tiroid (tiroiditis), kerusakan jaringan, dan/atau gangguan fungsi tiroid.","""Pemeriksaan TRAb diperlukan karena :
- sangat berguna untuk diferensial diagnosis hipertiroid, serta memiliki spesifisitas yang baik pada GD
- berperan pada evaluasi tahap awal yakni : menentukan  tingkat keparahan penyakit, menentukan keputusan pemberian terapi serta memperkirakan kemungkinan remisi. 
- dapat membantu mengidentifikasi pasien yang mulai berhenti terapi jika TRAb diukur sebelum penghentian terapi OAT; TRAb positif setelah terapi medis menunjukkan peningkatan risiko kekambuhan 
-Berguna menilai risiko transient neonatal tirotoksikosis dan hipertiroid pada janin, oleh karenanya TRAb harus dilakukan pada wanita hamil dengan GD pada trimester ke-3 gestasi""	
"
T,Toluene,"Toluena (metilbenzena) adalah salah satu pelarut aromatik yang paling banyak ditemukan di lingkungan industri dan perumahan. Toluene digunakan sebagai cat, pengencer pernis, atau zat pewarna. Toluen juga ditemukan dalam bahan bakar dan lain-lain. Paparan akut menyebabkan kelelahan, kebingungan ringan, ataksia, dan pusing. Paparan kronis dikaitkan dengan euforia, disinhibisi, dan tremor. Efek neurobehavioral meliputi penurunan IQ kinerja, kelainan memori, kontrol motorik yang buruk, penurunan fungsi visuospatial, dan demensia.",Memonitoring Paparan toluen dengan mengukur kadar toluen dalam darah.
T,TNF-Alpha,,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,TPHA ,Treponema Pallidum Hemagglutination (TPHA) merupakan suatu pemeriksaan serologi untuk sipilis dan kurang sensitif bila digunakan sebagai skrining (tahap awal/primer) sipilis.,Pemeriksaan konfirmasi untuk penyakit sipilis dan mendeteksi respon serologis spesifik untuk Treponema pallidum pada tahap lanjut/akhir sipilis.
T,Tissue Transglutaminase Antibody IgG,Pemeriksaan untuk mendeteksi autoantibodi dalam darah yang diproduksi tubuh sebagai bagian dari respon imun.,"Mendiagnosis enteropathies yang sensitif terhadap gluten, seperti Celiac Sprue Disease, dan kondisi kulit terkait, dermatitis herpetiformis pada pasien yang kekurangan IgA."
T,Toxoplasma PCR,Pemeriksaan molekuler untuk deteksi adanya DNA virus Toxoplasma,Skrining dan diagnosis ada tidaknya virus Toxoplasma
T,"Tissue Transglutaminase Antibody (IgG, IgA) ",Pemeriksaan untuk mendeteksi autoantibodi dalam darah yang diproduksi tubuh sebagai bagian dari respon imun.,"- Pemeriksaan Tissue Transglutaminase Antibody, IgA, berguna dalam mendiagnosis enteropathies yang sensitif terhadap gluten, seperti Celiac Sprue Disease, dan kondisi kulit yang terkait, dermatitis herpetiformis. 
- Pemeriksaan Tissue Transglutaminase Antibody IgG berguna pada pasien yang kekurangan IgA. Tes IgG juga memberikan dukungan untuk enteropati sensitif gluten di luar tes IgA."
T,Topiramate,Topiramate adalah obat yang digunakan untuk mengobati gangguan kejang (epilepsi).,Pemeriksaan ini bermanfaat untuk memonitor konsentrasi metabolit Topiramate dalam darah. 
T,"Tissue Plasminogen Activator (TPA), EIA",,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Tissue Transglutaminase Antibody (IgA),Pemeriksaan untuk mendeteksi autoantibodi dalam darah yang diproduksi tubuh sebagai bagian dari respon imun.,Membantu mendiagnosis penyakit celiac dan untuk mengevaluasi efektivitas diet bebas gluten
T,Tiroglobulin ,"Pemeriksaan tiroglobulin merupakan pemeriksaan menggunakan sampel darah yang diambil dari pembuluh darah vena di lengan untuk mengukur konsentrasi tiroglobulin dalam darah. Tiroglobulin adalah protein yang diproduksi oleh kelenjar tiroid yang sehat, namun protein ini juga bisa diproduksi oleh sel-sel kanker.",Memantau pengobatan kanker tiroid dan mendeteksi kekambuhan; terkadang untuk membantu menentukan penyebab hipertiroidisme dan hipotiroidisme.
T,Tinggi Badan,,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Tindakan penanganan trauma (Ringan),,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Tindakan penanganan trauma (Berat),,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Tindakan penanganan sincope (Ringan),,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Tindakan penanganan sincope (Berat),,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Tindakan fisiotherapy home care per kedatangan,,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Tindakan penanganan luka bakar (Sedang),,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Tindakan penanganan luka bakar (Ringan),,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Tindakan penanganan luka bakar (Berat),,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Tindakan inhalasi/sesak,,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Tindakan bedah minor (Sedang),,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Tindakan bedah minor (Ringan),,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Toxoplasma Gondii IgA Antibody,"Antibodi Toxoplasma yang beberapa saat setelah IgM, mencapai puncak dalam 3-4 mg setelah infeksi.",Mendiagnosis infeksi toxoplasma primer maupun kongenital.
T,Tindakan bedah minor (Berat),,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Thyroxine Free Index,"Panel TFT biasanya mencakup hormon tiroid seperti hormon perangsang tiroid (TSH, thyrotropin) dan tiroksin (T4), dan triiodothyronine (T3) tergantung pada kebijakan laboratorium setempat.","Pemeriksaan yang dilakukan ketika ada dugaan pasien menderita hipertiroidisme (tiroid yang terlalu aktif) atau hipotiroidisme (tiroid yang kurang aktif), atau untuk memantau efektivitas terapi penekan tiroid atau terapi penggantian hormon. Ini juga diminta secara rutin dalam kondisi yang terkait dengan penyakit tiroid, seperti atrial fibrilasi dan gangguan kecemasan."
T,Timbal (Pb) Urine,"Salah satu jenis logam berat yang digunakan dalam industri.  Konsentrasi yang tinggi  dapat mencemari tanah, udara, makanan, dan air",Biomonitoring pajanan Timbal
T,TIBC ,Setara dengan total transferin dalam tubuh. Kapasitas mengikat besi total yang dilakukan oleh transferin., Pemeriksaan untuk diagnosa jenis anemia terutama dengan hipokrom dan atau MCV rendah.
T,Timbal,"Salah satu jenis logam berat yang digunakan dalam industri.  Konsentrasi yang tinggi  dapat mencemari tanah, udara, makanan, dan air",Biomonitoring pajanan Timbal
T,Timah,"Salah satu jenis logam berat yang digunakan dalam industri.  Konsentrasi yang tinggi  dapat mencemari tanah, udara, makanan, dan air",Biomonitoring pajanan Timah
T,"Thyroid-Stimulating Immunoglobulin ( TSI ), Serum ","Thyroid stimulating immunoglobulin (TSI): Suatu bentuk immunoglobulin G (IgG) yang dapat berikatan dengan reseptor thyrotropin (TSH) pada kelenjar tiroid. TSI meniru aksi TSH, menyebabkan sekresi tiroksin dan triiodothyronine yang berlebih. Tingkat TSI abnormal tinggi pada orang dengan hipertiroidisme karena penyakit Graves.","untuk mengetahui ada tidaknya TSI, yang dapat menyebabkan terjadinya grave disease"
T,Thyroid Autoantibodies,Thyroid autoantibodies merupakan pemeriksaan darah untuk mendeteksi antibodi yang menyerang tiroid,Untuk membantu mendiagnosis dan memantau penyakit tiroid autoimun dan membedakannya dari bentuk penyakit tiroid lainnya; untuk membantu memandu keputusan pengobatan
T,"Thyroid Transcription Factor-1 (TTF-1), IHC with Interpretation",,Silahkan cek email anda untuk mendapatkan kata sandi baru
T,Thrombopoietin,Thrombopoietin adalah hormon glikoprotein yang mengatur produksi trombosit oleh sumsum tulang,Pemeriksaan untuk mengukur kadar TPO serum pada pasien dengan trombositopenia yang tidak diketahui penyebabnya. ITP (Idiopathic Thrombocytopenia purpura) adalah penyebab umum trombositopenia.
T,Theophyllin,Teofilin merupakan bronkodilator yang digunakan dalam asma dan Chronic Obstructive Pulmonary Diseas (COPD) dan karakteristiknya meliputi imunomodulator dan antiinflamasi,"Obat ini dapat ditoleransi dengan baik apabila konsentrasi serum berada dalam rentang terapeutik. Teofilin juga digunakan bagi neonatus untuk apnea idiopatik/bradikardia.Kegunaan pemeriksaan TDM Teofilin digunakan untuk memantau konsentrasi teofilin, mendeteksi kecukupan dosis terapi, dan memprediksikan terjadinya toksisitas teofilin. "
T,Thiodiglycolic Acid (Urine),Asam tiodiglikolat (TdGA) adalah metabolit utama monomer vinil klorida (VCM) yang terdeteksi dalam urin manusia.,Biomonitoring pajanan Asam tiodiglikolat
T,Thrombotest Owren,Pengendalian terapi antikoagulan,Pemantauan pengobatan antikoagulan
T,TFPI,Tissue factor (TF) pathway inhibitor (TFPI) adalah protein antikoagulan yang menghambat fase awal dari respons prokoagulan.,Mengukur respon prokoagulan
T,Testosteron Free & Total,Pemeriksaan ini mengukur testoteron yang terikat dengan SHBG dan yang bebas di sirkulasi.,"'- Evaluasi wanita dengan hirsutisme
- Indikator fungsi sekresi LH dan sel Leydig 
- Evaluasi fungsi gonad dan adrenal
- Diagnosis hipogonadisme, hipopituarisme, sindrom Klinifelter dan impoten
- Mengetahui penyebab pubertas dini pada pria
"
T,"Testosterone, Free",Pemeriksaan ini mengukur testoteron yang bebas yang menggambarkan  jumlah testoteron yang aktif di sirkulasi.,"'- Memastikan dugaan defisiensi androgen pada pria, termasuk gangguan pubertas.
- Memastikan dugaan peningkatan produksi androgen pada wanita.
- Memantau pengobatan endokrin terhadap kanker prostat.
- Menunjang diagnosis testicular feminization.
- Monitoring terapi testosteron (TRT= Testosterone Replacement Therapy) "
T,Testosteron,"Pemeriksaan testosterone merupakan pemeriksaan menggunakan sampel darah yang diambil dari pembuluh darah vena di lengan untuk mengukur konsentrasi testosterone dalam darah.

Testosterone adalah hormon seks utama (androgen) pada pria yang bertanggung jawab terhadap karakteristik fisik pria. Meskipun dianggap sebagai hormon seks pria, namun hormon ini ditemukan dalam darah pria dan wanita.","1. Evaluasi wanita dengan hirsutisme
2. Indikator fungsi sekresi LH dan sel Leydig 
3. Evaluasi fungsi gonad dan adrenal
4. Diagnosis hipogonadisme, hipopituarisme, sindrom Klinifelter dan impoten
5. Mengetahui penyebab pubertas dini pada pria
"
T,TENSrisk (add on),"TENSrisk (add on) adalah pemeriksaan TENSrisk yang dilakukan oleh pasien yang sebelumnya sudah pernah melakukan pemeriksaan genomic prodia lainnya menggunakan chip ASA dengan metode pemeriksaan microarray (CArisk, DIArisk, Prodia Nutrigenomics, VASCULArisk). Pada pemeriksaan ini tidak perlu dilakukan pengambilan darah ulang, karena pada pemeriksaan genomic sebelumnya data pasien sudah terekam dan tersimpan. Pada saat pasien menghendaki pemeriksaan TENSrisk, data tersebut yang kemudian dianalisis secara bioinformatika untuk penentuan genotipe dan interpretasi prediksi risiko terhadap hipertensi dan kondisi yang terkait dengan hipertensi.","1. Mengetahui risiko secara genetik terhadap penyakit Hipertensi dan kondisi terkait dengan hipertensi yaitu obesitas, gangguan metabolisme lemak, dan penyakit ginjal kronik.

2. Dengan mengetahui risiko penyakit-penyakit tersebut klinisi dapat menetukan strategi untuk pencegahan dengan melakukan perubahan gaya hidup dan atau pengobatan jika diperlukan dengan lebih personal.

3. Pemeriksaan TENSrisk merupakan langkah awal untuk terhidar dari penyakit-penyakit terkait hipertensi"
T,Telomere Analysis,"Telomere merupakan struktur DNA-protein pada ujung kromosom yang terdiri dari DNA sekuen dengan susunan DNA berulang (tandem repeat). Telomere berperan sebagai tutup (cap) pada ujung kromosom yang berfungsi menjaga kromosom dari kerusakan, dan memainkan peranan yang sangat signifikan pada proses penuaan. ",untuk dapat menilai level penuaan (aging ) secara selular
T,Tes Kehamilan,"Pemeriksaan dilakukan dengan mendeteksi ada tidaknya hormon human chorionic gonadotropin (hCG) di dalam darah yang dapat menunjukkan ada tidaknya kehamilan. Hormon hCG diproduksi oleh plasenta selama masa kehamilan, dan dapat terdeteksi di dalam darah pada masa kehamilan paling awal, bahkan sebelum periode menstruasi berhenti.","Mengetahui ada-tidaknya kehamilan	
"
T,TENSrisk,"TENSrisk (Hypertension Risk) merupakan pemeriksaan genomik yang digunakan untuk memprediksi risiko berdasarkan profil genomik seseorang terhadap penyakit Hipertensi dan kondisi terkait dengan hipertensi yaitu obesitas, gangguan metabolisme lemak, penyakit ginjal kronik. Pemeriksaan ini menganalisis lebih dari 60 variasi genetik.","1. Mengetahui risiko secara genetik terhadap penyakit Hipertensi dan kondisi terkait dengan hipertensi yaitu obesitas, gangguan metabolisme lemak, dan penyakit ginjal kronik.

2. Dengan mengetahui risiko penyakit-penyakit tersebut klinisi dapat menetukan strategi untuk pencegahan dengan melakukan perubahan gaya hidup dan atau pengobatan jika diperlukan dengan lebih personal.

3. Pemeriksaan TENSrisk merupakan langkah awal untuk terhidar dari penyakit-penyakit terkait hipertensi"
